title,titre_original,score_presse,score_spectateur,genre,annee,duree,description,acteurs,realisateur,public,pays_d_origine,langue_d_origine
"
Rendez-vous avec Pol Pot ",,"3,3","3,5","Drame,Historique","
5 juin 2024
","
1h 52min
","1978. Depuis trois ans, le Cambodge, devenu Kampuchéa démocratique, est sous le joug de Pol Pot et ses Khmers rouges. Le pays est économiquement exsangue, et près de deux millions de Cambodgiens ont péri dans un génocide encore tu. Trois Français ont accepté l’invitation du régime et espèrent obtenir un entretien exclusif avec Pol Pot : une journaliste familière du pays, un reporter photographe et un intellectuel sympathisant de l’idéologie révolutionnaire. Mais la réalité qu’ils perçoivent sous la propagande et le traitement qu’on leur réserve va vont peu à peu faire basculer les certitudes de chacun.","Irène Jacob,Grégoire Colin,Cyril Gueï",Rithy Panh,Tout public," Cambodge, France, Qatar, Taïwan, Turquie",-
"
Gloria! ",,"2,6","3,4","Drame,Historique,Musical","
12 juin 2024
","
1h 46min
","Venise, au 18ème siècle. A l'Institut Sant'Ignazio, orphelinat et conservatoire pour jeunes filles, tout le monde s'agite en vue de la visite imminente du nouveau Pape et du grand concert qui sera donné en son honneur. Teresa, jeune domestique silencieuse et solitaire, fait alors une découverte exceptionnelle qui va révolutionner la vie du conservatoire : un piano-forte.","Galatea Bellugi,Carlotta Gamba,Veronica Lucchesi",Margherita Vicario,Tout public," Italie, Suisse","
Italien"
"
Juliette au printemps ",,"3,4","3,5",Drame,"
12 juin 2024
","
1h 36min
","Juliette, jeune illustratrice de livres pour enfants, quitte la ville pour retrouver sa famille quelques jours : son père si pudique qu’il ne peut s’exprimer qu’en blagues, sa mère artiste peintre qui croque la vie à pleines dents, sa grand-mère chérie qui perd pied, et sa sœur, mère de famille débordée par un quotidien qui la dévore. Elle croise aussi le chemin de Pollux, jeune homme poétique et attachant. Dans ce joyeux bazar, des souvenirs et des secrets vont remonter à la surface.","Izïa Higelin,Sophie Guillemin,Jean-Pierre Darroussin",Blandine Lenoir,Tout public, France,"
-
"
"
Memory ",,"3,8","3,9",Drame,"
29 mai 2024
","
1h 40min
","Sylvia mène une vie simple, structurée par sa fille, son travail et ses réunions des AA. Pourtant, ses retrouvailles avec Saul bouleversent leurs existences, réveillant des souvenirs douloureux que chacun avait enfouis jusque-là.","Jessica Chastain,Peter Sarsgaard,Brooke Timber",Michel Franco,Tout public," U.S.A., Mexique, Chili",-
"
Marcello Mio ",,"3,6","3,0",Comédie,"
22 mai 2024
","
2h 01min
",C’est l’histoire d’une femme qui s’appelle Chiara.,"Chiara Mastroianni,Benjamin Biolay,Catherine Deneuve",Christophe Honoré,Tout public," France, Italie","
Français, Italien"
"
Paradis Paris ",,"2,8","2,4","Comédie,Drame","
12 juin 2024
","
1h 49min
","Ex-star de l’opéra, Giovanna fulmine : alors qu’elle a été déclarée morte par erreur, les hommages de la presse tardent à venir. Mike, cascadeur anglais, peut-il décemment trembler devant la mort alors qu’il la défie tous les jours ? Fumer tue, mais Dolorès s’en fout : le jour des 15 ans de sa petite-fille, elle passe unilatéralement un pacte avec Dieu. Alors qu’elle essaie de se suicider, Marie-Cerise, ado harcelée, humiliée et déprimée, est kidnappée et va tout naturellement faire de son ravisseur son psy. Edouard, bien qu’il présente depuis des années une célèbre émission criminelle à la télé, accuse le coup quand sa mortalité se rappelle à lui.","Rossy de Palma,André Dussollier,Eduardo Noriega",Marjane Satrapi,Tout public avec avertissement, France,"
-
"
"
Le Deuxième acte ",,"3,8","3,1",Comédie,"
14 mai 2024
","
1h 20min
","Florence veut présenter David, l’homme dont elle est follement amoureuse, à son père Guillaume. Mais David n’est pas attiré par Florence et souhaite s’en débarrasser en la jetant dans les bras de son ami Willy. Les quatre personnages se retrouvent dans un restaurant au milieu de nulle part.","Léa Seydoux,Louis Garrel,Vincent Lindon",Quentin Dupieux,Tout public, France,"
-
"
"
La Petite vadrouille ",,"3,7","2,6",Comédie,"
5 juin 2024
","
1h 36min
","Justine, son mari et toute leur bande d'amis trouvent une solution pour résoudre leurs problèmes d'argent : organiser une fausse croisière romantique pour Franck, un gros investisseur, qui cherche à séduire une femme.","Daniel Auteuil,Sandrine Kiberlain,Denis Podalydès",Bruno Podalydès,Tout public, France,"
-
"
"
Vice-Versa 2 ",Inside Out 2,"3,7","4,1","Aventure,Animation,Comédie,Famille","
19 juin 2024
","
1h 36min
","Fraichement diplômée, Riley est désormais une adolescente, ce qui n’est pas sans déclencher un chamboulement majeur au sein du quartier général qui doit faire face à quelque chose d’inattendu : l’arrivée de nouvelles émotions ! Joie, Tristesse, Colère, Peur et Dégoût - qui ont longtemps fonctionné avec succès - ne savent pas trop comment réagir lorsqu’Anxiété débarque. Et il semble qu'elle ne soit pas la seule...","Charlotte Le Bon,Amy Poehler,Jaynelia Coadou",Kelsey Mann,Tout public, U.S.A.,"
-
"
"
La Planète des Singes : Le Nouveau Royaume ",Kingdom of the Planet of the Apes,"3,2","3,6","Action,Aventure,Science Fiction","
8 mai 2024
","
2h 25min
","Plusieurs générations après le règne de César, les singes ont définitivement pris le pouvoir. Les humains, quant à eux, ont régressé à l'état sauvage et vivent en retrait. Alors qu'un nouveau chef tyrannique construit peu à peu son empire, un jeune singe entreprend un périlleux voyage qui l'amènera à questionner tout ce qu'il sait du passé et à faire des choix qui définiront l'avenir des singes et des humains...","Owen Teague,Freya Allan,Peter Macon",Wes Ball,Tout public, U.S.A.,"
-
"
