title,titre original,score_presse,score_spectateur,genre,annee,duree,description,acteurs,realisateur,pays_d_origine,nombre_de_saisons,nombre_d_episodes
"
La Chronique des Bridgerton ",Bridgerton,"3,8","3,8","Drame,Historique,Romance","
Depuis 2020
","
60 min
","À Londres, pendant la Régence, Daphne Bridgerton, fille aînée d'une puissante dynastie, est censée se trouver un mari, mais la concurrence est rude et ses envies sont ailleurs...","Nicola Coughlan,Luke Newton,Claudia Jessie","Chris Van Dusen,Shonda Rhimes", U.S.A.,4 Saisons,24 Episodes
"
The Rookie : le flic de Los Angeles ",The Rookie,"3,3","4,2","Policier,Drame","
Depuis 2018
","
42 min
","Lorsque sa femme le quitte et que son fils part à la fac, John Nolan, la quarantaine, est à un tournant de sa vie et décide de réaliser un vieux rêve : devenir flic ! Il part vivre à Los Angeles et se retrouve, malgré son âge, un bleu parmi les bleus...","Nathan Fillion,Nathan Fillion,Shawn Ashmore",Alexi Hawley, U.S.A.,7 Saisons,108 Episodes
"
Ripley ",,"3,8","4,3","Drame,Thriller","
Depuis 2024
","
60 min
","Tom Ripley, un escroc new-yorkais qui tire le diable par la queue au début des années 60, est engagé par un homme richissime qui l'envoie en Italie pour tenter de convaincre son fils bohème de rentrer à la maison. En acceptant cette mission, Tom met le doigt dans un engrenage complexe qui va le mener au mensonge, à la fraude et au meurtre. ","Andrew Scott,Dakota Fanning,Johnny Flynn",Steven Zaillian, U.S.A.,1 Saison,8 Episodes
"
Stranger Things ",,"3,7","4,5","Drame,Fantastique,Epouvante-horreur,Science Fiction,Thriller","
Depuis 2016
","
55 min
","A Hawkins, en 1983 dans l'Indiana. Lorsque Will Byers disparaît de son domicile, ses amis se lancent dans une recherche semée d’embûches pour le retrouver. Dans leur quête de réponses, les garçons rencontrent une étrange jeune fille en fuite. Les garçons se lient d'amitié avec la demoiselle tatouée du chiffre ""11"" sur son poignet et au crâne rasé et découvrent petit à petit les détails sur son inquiétante situation. Elle est peut-être la clé de tous les mystères qui se cachent dans cette petite ville en apparence tranquille…","Winona Ryder,David Harbour,Millie Bobby Brown","Matt Duffer,Ross Duffer", U.S.A.,5 Saisons,42 Episodes
"
The OA ",,"3,4","4,0","Drame,Fantastique,Science Fiction","
2016 - 2019
","
60 min
","Prairie Johnson réapparaît après sept ans d'absence. Disparue subitement, l'enfant était aveugle ; à son retour, elle ne l'est plus. Qu'a-t-il bien pu lui arriver ? C'est ce que vont tâcher de découvrir son entourage, la science et même le FBI.","Brit Marling,Emory Cohen,Kingsley Ben-Adir","Zal Batmanglij,Brit Marling", U.S.A.,2 Saisons,16 Episodes
"
Mayor Of Kingstown ",,"4,0",,"Policier,Drame,Thriller","
Depuis 2021
","
60 min
",Dans une petite ville du Michigan qui subsiste grâce à la prison locale et la vie policière comme criminelle qui règne autour du centre pénitencier. C'est l'histoire de la famille McClusky...,"Jeremy Renner,Jeremy Renner,Dianne Wiest","Taylor Sheridan,Hugh Dillon"," U.S.A., Canada",3 Saisons,30 Episodes
"
Le Remplaçant ",,"3,4","2,8",Comédie dramatique,"
Depuis 2021
","
45 min
","Nicolas Valeyre est un prof de français original et sans complaisance, que ce soit à l'égard de ses collègues ou de ses élèves. Ses méthodes fantaisistes, sa misanthropie affichée et son style brut de décoffrage en font un OVNI dans la salle des profs. Mais il dérange autant sa hiérarchie qu'il inspire naturellement confiance à ses élèves. Car sous ses dehors d’ours mal léché, c’est un hypersensible passionné, prêt à tout pour les aider à trouver leur voie."," JoeyStarr,Clémentine Célarié,Sébastien Chassagne","Chloé Marçais,Joris Morio,Jean-André Yerles", France,2 Saisons,16 Episodes
"
La Reine Charlotte : Un chapitre Bridgerton ",Queen Charlotte: A Bridgerton Story,"3,6","3,5","Drame,Historique,Romance","
2023
","
60 min
","Promise au Roi d’Angleterre contre son gré, Charlotte arrive à Londres et découvre que la famille royale n'est pas ce qu'elle imaginait. Le temps aidant, la jeune fille trouve ses marques au sein du palais, entre l'Etiquette et son imprévisible mari. Malgré les difficultés, Charlotte est en passe de devenir l’une des monarques les plus incontournables d’Europe.","India Amarteifio,Golda Rosheuvel,Corey Mylchreest",Jess Brownell, U.S.A.,1 Saison,6 Episodes
"
Doctor Who (2024) ",,"4,1","2,8","Aventure,Science Fiction","
Depuis 2024
","
60 min
","Grâce à son précieux vaisseau le TARDIS, le Docteur et sa nouvelle compagne de voyage explorent l'espace et le temps à la rencontre d'amis comme d'ennemis.","Ncuti Gatwa,Millie Gibson",Russell T Davies, Grande-Bretagne,2 Saisons,12 Episodes
"
NCIS : Enquêtes spéciales ",NCIS,"3,9",,"Policier,Drame","
Depuis 2003
","
42 min
",La Naval Criminal Investigative Service regroupe une équipe d'agents spéciaux chargés d'enquêter sur des crimes concernant la Marine.,"Gary Cole,Gary Cole,Sean Murray","Donald P. Bellisario,Don McGill", U.S.A.,22 Saisons,467 Episodes
"
Bodkin ",,"3,6","3,4","Comédie dramatique,Drame,Thriller","
Depuis 2024
","
50 min
",Une bande de podcasteurs décide d'enquêter sur d'anciennes disparitions mystérieuses dans une ville pittoresque d'Irlande qui cache de noirs et terribles secrets.,"Siobhan Cullen,Robyn Cara,Chris Walley",Jez Scharf, U.S.A.,1 Saison,7 Episodes
"
Le Seigneur des Anneaux : Les Anneaux de Pouvoir ",The Lord Of The Rings: The Rings Of Power,"3,3","3,1","Aventure,Drame,Fantastique","
Depuis 2022
","
60 min
","Commençant à une époque de paix relative, la série suit un ensemble de personnages, à la fois familiers et nouveaux, alors qu’ils affrontent la réémergence tant redoutée du mal sur la Terre du Milieu. Des profondeurs les plus sombres des Monts Brumeux, aux forêts majestueuses de la capitale Elfique de Lindon, à l’île royaume à couper le souffle de Númenor, et jusqu’aux confins les plus éloignés du monde, ces royaumes et personnages bâtiront des légendes qui continueront d’exister bien longtemps après leur mort.","Morfydd Clark,Morfydd Clark,Markella Kavenagh","John D. Payne,Patrick McKay", U.S.A.,3 Saisons,18 Episodes
"
The Strain ",,"3,6","3,8","Drame,Epouvante-horreur,Thriller","
2014 - 2017
","
43 min
","Lorsqu'un Boeing 777 atterrit à l'aéroport new yorkais JFK sans qu'aucun signe de vie n'en émane, Eph Goodweather, un scientifique spécialisé dans les épidémies et les attaques biologiques, est dépêché sur les lieux. A l'intérieur de l'avion, il découvre que tous les passagers sont morts, probablement tués par un étrange virus ou... un monstre non identifié. L'homme fait alors équipe avec un ancien professeur, survivant de l'Holocauste, Abraham Setrakian. Ensemble, ils constituent un petit groupe qui devient rapidement le dernier espoir pour la survie de la race humaine. Des vampires transforment en effet petit à petit la civilisation en un gigantesque buffet. Le sang coule à flots et rien ne semble pouvoir les arrêter...","Corey Stoll,David Bradley (IV),Kevin Durand","Guillermo del Toro,Chuck Hogan", U.S.A.,4 Saisons,46 Episodes
"
The 8 Show ",,"3,5","3,6","Drame,Thriller","
2024
","
50 min
",Huit personnes piégées dans un mystérieux immeuble de huit étages participent à un jeu télévisé tentant mais dangereux dans lequel leurs gains augmentent avec le temps.,"Ryu Jun-yeol,Woo-hee Chun,Park Min-jung",Jae-rim Han, Corée du Sud,1 Saison,8 Episodes
