acteurs,annee,description,duree,genre,nombreDeSaisons,nombreEpisodes,paysOrigine,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Steve Martin,Martin Short,Martin Short",Depuis 2021,"Trois inconnus, obsédés par les affaires criminelles, se retrouvent liés à un meurtre dans la vie réelle et décident de résoudre le cas...",30 min,"Comédie,Policier",4 Saisons,40 Episodes, U.S.A.,"Steve Martin,John Hoffman","3,9","4,0",Only Murders in the Building,
"Madison Hu,Michelle Yeoh,Justin Chien",2024,"Quand sa famille est attaquée, un membre d'une triade de Taipei se rend à Los Angeles pour protéger sa mère forte tête et son frère qui ignore tout de leurs activités.",55 min,"Action,Comédie,Drame",1 Saison,8 Episodes, U.S.A.,Brad Falchuk,"3,4","4,0",Les Frères Sun,The Brothers Sun
"Cansu Dere,Caner Cindoruk,Melis Sezen",2020 - 2022,"Asya est une femme épanouie dont la vie paraît parfaite. Avec son époux, Volkan, et leur fils, ils renvoient l’image d’une famille heureuse. Asya est un brillant médecin et Volkan possède quant à lui un bureau d’architecte florissant. La vie d’Asya se retrouve bouleversée lorsqu’elle soupçonne son mari de vivre une relation extraconjugale...",,"Drame,Feuilleton",2 Saisons,3 Episodes, Turquie,,"3,9",,La vengeance d'une femme,Sadakatsiz
"Gabriel Byrne,Gabriel Byrne,Léa Drucker",2019 - 2022,"Des astronomes détectent une transmission émanant d’une autre galaxie, preuve de l’existence d’une vie extra-terrestre intelligente. Quelques jours plus tard, l’humanité est détruite ; seule survit une poignée d’êtres humains qui comprendra bientôt les mystères cachés derrière cette invasion...",52 min,"Drame,Science Fiction",3 Saisons,24 Episodes," Grande-Bretagne, U.S.A., France",Howard Overman,"3,2","3,1",La Guerre des Mondes (Canal+),War of the Worlds
"Luke Kleintank,Heida Reed,Carter Redwood",Depuis 2021,Des agents d’élite de la division internationale du FBI voyagent à travers le monde pour remplir leur mission de protéger les citoyens américains où qu’ils soient.,43 min,Policier,4 Saisons,56 Episodes, U.S.A.,"Derek Haas,Dick Wolf","3,6",,FBI: International,
"Paulina Andreeva,Kirill Käro,Eldar Kalimulin",2018 - 2019,"Dans un Moscou où les robots font partie du quotidien, une famille embauche sans le savoir un androïde tueur pour faire le ménage.",52 min,"Drame,Science Fiction",1 Saison,16 Episodes, Russie,,"3,8",,Better Than Us,"Luchshe, chem lyudi"
"Sara Mortensen,Sara Mortensen,Lola Dewaere",Depuis 2019,"Lorsque le commandant Raphaëlle Coste s'adresse au service des archives judiciaires de la police pour une de ses enquêtes, elle ne se doute pas qu'elle va rencontrer une jeune femme aussi brillante que déroutante, mémoire vivante des enquêtes criminelles, Astrid, 30 ans, signe particulier : autiste Asperger.",52 min,Policier,5 Saisons,42 Episodes, France,"Alexandre de Seguins,Laurent Burtin","3,6","4,1",Astrid et Raphaëlle,
"Claude Perron,Laurence Arné,Vanessa David",2012 - 2016,"Le monde de l'entreprise revisité à travers une PME banale, dotée d’un personnel qui l’est un peu moins. De la DRH méganymphomane, à la cadre supra psycho rigide, en passant par la mère de famille suffocant entre son job et ses nains, les 2 standardistes qui font sifflet quand on leur souffle dans le nez et la chef du marketing qui déprime même son psy.",13 min,Comédie,4 Saisons,49 Episodes, France,,"3,8",,Workingirls,
"Tomer Sisley,Camille Claris,Zineb Triki",2023,"2025. Capitaine de police judiciaire à Brest, Ludovic a perdu il y a 27 ans l’amour de sa vie, Mélanie. La mère de sa fille Juliette est morte dans ce qui semblait être un accident… Mais soudain, grâce à une faille temporelle qui s’ouvre à l’intérieur d’une scène de crime reconstituée en réalité virtuelle, ils peuvent communiquer entre 1998 et 2025 ! Ludovic prévient Mélanie : elle va mourir dans 11 jours ! Mais la sauver d’une mort certaine, cela signifie que Ludovic risque de perdre sa vie au présent, celle qu’il a mis tant de temps à reconstruire : sa nouvelle femme, Parvana et leur fils Sam ...",52 min,Policier,1 Saison,6 Episodes," France, Belgique","Camille Couasse,Sarah Farkas,Franck Thilliez","3,7","4,1",Vortex,
,Depuis 2023,"La disparition de la jeune Américaine Annie McCarrick en 1993 en Irlande est suivie de nombreuses. Face à l’incompétence de la police, la journaliste Lisa Wallace enquête sur le meurtre mystérieux de sa propre mère près de 20 ans plus tôt.",60 min,"Drame,Thriller",1 Saison,6 Episodes," Irlande, U.S.A., Grande-Bretagne",,,,The Vanishing Triangle,
"Erika Henningsen,Stephanie Beatriz,Amir Talai",Depuis 2024,"Suivez Charlie Morningstar, une démone princesse des enfers, dans sa quête pour gérer un hôtel dans le but d’offrir la possibilité de rédemption des damnés afin d'éviter leur massacre annuel à cause de leur surpopulation. Dans sa tâche elle est soutenue par sa compagne Vaggie ainsi que son premier pensionnaire Angel Dust. Elle est rejoint par un puissant démon, aux objectifs obscurs, du nom d'Alastor qui a aussi convié deux employés supplémentaire : Niffty une femme de chambre maniaque et Husk le barman taciturne.",30 min,"Animation,Comédie,Musical",2 Saisons,8 Episodes, U.S.A.,,"4,1",,Hazbin Hotel,
"Ben McKenzie,Donal Logue,David Mazouz",2014 - 2019,"Tout le monde connaît le Commissaire Gordon, valeureux adversaire des plus dangereux criminels, un homme dont la réputation rime avec ""loi"" et ""ordre"". Mais que sait-on de son histoire ? De son ascension dans une institution corrompue, qui gangrène une ville comme Gotham, terrain fertile des méchants les plus emblématiques ? Comment sont nées ces figures du crime, ces personnages hors du commun que sont Catwoman, le Pingouin, l'Homme-mystère, Double-Face et le Joker ?",42 min,"Action,Policier,Drame,Science Fiction",5 Saisons,100 Episodes, U.S.A.,Bruno Heller,"3,6","4,2",Gotham (2014),
