acteurs,annee,description,duree,genre,langueOrigine,paysOrigine,public,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Renátó Olasz,Zsófia Szamosi,Zsolt Nagy",24 avril 2024,"2123. Dans un futur où la sécheresse a ravagé la Terre, l’humanité est contrainte de sacrifier une partie de la population : toute personne de plus de 50 ans sera transformée en arbre. La société est régie par des règles impitoyables. Le jour où Stefan voit sa femme condamnée prématurément par le système, il décide de prendre les plus grands risques pour changer son destin.",112,"Animation,Drame,Romance,Science Fiction",-," Hongrie, Slovaquie",Tout public,Tibor Bánóczki,"3,5","3,4",Sky Dome 2123,Müanyag égbolt
"Meryl Streep,Tom Hanks,Sarah Paulson",24 janvier 2018,"Première femme directrice de la publication d’un grand journal américain, le Washington Post, Katharine Graham s'associe à son rédacteur en chef Ben Bradlee pour dévoiler un scandale d'État monumental et combler son retard par rapport au New York Times qui mène ses propres investigations. Ces révélations concernent les manœuvres de quatre présidents américains, sur une trentaine d'années, destinées à étouffer des affaires très sensibles… Au péril de leur carrière et de leur liberté, Katharine et Ben vont devoir surmonter tout ce qui les sépare pour révéler au grand jour des secrets longtemps enfouis…",117,"Drame,Thriller",-, U.S.A.,,Steven Spielberg,"4,2","3,9",Pentagon Papers,The Post
"Sophie Marceau,Pierre Cosso,Brigitte Fossey",8 décembre 1982,"Vic est de retour de vacances et s'apprête à entrer au lycée. Désormais âgée de quinze ans, la jeune fille tombe amoureuse d'un garçon, Philippe, pendant un concert de rock. Au milieu de ses déboires amoureux et de disputes récurrentes avec ses parents, Vic peut toujours se confier à son arrière-grand-mère, Poupette.",107,Comédie,-, France,,Claude Pinoteau,"2,3",,La Boum 2,
"Pierre Niney,Guillaume Gallienne,Charlotte Le Bon",8 janvier 2014,"Paris, 1957. A tout juste 21 ans, Yves Saint Laurent est appelé à prendre en main les destinées de la prestigieuse maison de haute couture fondée par Christian Dior, récemment décédé. Lors de son premier défilé triomphal, il fait la connaissance de Pierre Bergé, rencontre qui va bouleverser sa vie. Amants et partenaires en affaires, les deux hommes s’associent trois ans plus tard pour créer la société Yves Saint Laurent. Malgré ses obsessions et ses démons intérieurs, Yves Saint Laurent s’apprête à révolutionner le monde de la mode avec son approche moderne et iconoclaste.",106,"Biopic,Drame",-, France,,Jalil Lespert,"3,1","3,6",Yves Saint-Laurent,
" Eminem,Kim Basinger,Mekhi Phifer",26 février 2003,"A Detroit, en 1995, Jimmy Smith Jr. a des rêves plein la tête, mais il lui manque encore les mots pour les exprimer. Sa vie d'adolescent se déroule entre banlieue blanche et quartiers noirs, le long de cette ligne de démarcation que l'on nomme ",110,"Drame,Musical",-, U.S.A.,,Curtis Hanson,"3,8","3,7",8 Mile,
"Michel Blanc,Marie-Anne Chazel,Christian Clavier",22 novembre 1979,"Après le Club méditerranée, la joyeuse troupe d'amis (plus connu sous le nom ",90,Comédie,-, France,,Patrice Leconte,"4,0",,Les Bronzés font du ski,
"Gary Sinise,Tim Robbins,Don Cheadle",12 mai 2000,"2020. La NASA envoie pour la première fois une équipe d'astronautes sur Mars. Mais peu de temps après leur arrivée, ils sont confrontés à un phénomène surnaturel d'une puissance terrifiante et toutes les communications sont coupées. Une deuxième mission est envoyée à leur recherche...",113,"Aventure,Drame,Science Fiction",-, U.S.A.,,Brian De Palma,"2,7","2,4",Mission to Mars,
"Mel Gibson,Julia Roberts,Patrick Stewart",20 août 1997,"Jerry Fletcher, chauffeur de taxi, est hante par des visions fugaces et effrayantes. Sillonnant les rues de New York, il entretient ses clients d'obscurs complots connus de lui seul. Tout le monde le prend pour un paranoiaque. Seule Alice, jeune procureur au ministere de la justice, qui vit en recluse depuis l'assassinat de son pere, accepte de l'ecouter...",135,"Romance,Thriller",35mm, U.S.A.,,Richard Donner,"3,2",,Complots,Conspiracy Theory
"Matt Damon,Viola Davis,Ben Affleck",12 mai 2023,"Sonny Vaccaro, le directeur du marketing sportif de chez Nike poursuit sans relâche Michael Jordan pour conclure un partenariat historique, avec son acolyte, Phil Knight, milliardaire et cofondateur de Nike.",112,Drame,-, U.S.A.,,Ben Affleck,"3,7","3,9",Air,
"Jesse Eisenberg,Mark Ruffalo,Woody Harrelson",31 juillet 2013,"« Les Quatre Cavaliers », un groupe de brillants magiciens et illusionnistes, viennent de donner deux spectacles de magie époustouflants : le premier en braquant une banque sur un autre continent, le deuxième en transférant la fortune d’un banquier véreux sur les comptes en banque du public. Deux agents spéciaux du FBI et d’Interpol sont déterminés à les arrêter avant qu’ils ne mettent à exécution leur promesse de réaliser des braquages encore plus audacieux. Ils font appel à Thaddeus, spécialiste reconnu pour expliquer les tours de magie les plus sophistiqués. Alors que la pression s’intensifie, et que le monde entier attend le spectaculaire tour final des Cavaliers, la course contre la montre commence.",125,"Policier,Thriller",Anglais," U.S.A., France",,Louis Leterrier,"2,3","3,9",Insaisissables,Now You See Me
"Liv Tyler,Scott Speedman,Gemma Ward",21 août 2012,"De retour d'un mariage, Kirsten et James rentrent dans leur maison de vacances, perdue en pleine forêt. Au beau milieu de la nuit, on frappe à leur porte. Bris de verre, cris étouffés, bruits de pas... Très vite, ils réalisent que des étrangers masqués rôdent autour de chez eux. Et qu'ils sont bien déterminés à entrer.",86,"Epouvante-horreur,Thriller",Anglais, U.S.A.,,Bryan Bertino,"2,5",,The Strangers,
"Dev Patel,Freida Pinto,Mia Drake",14 janvier 2009,"Jamal Malik, 18 ans, orphelin vivant dans les taudis de Mumbai, est sur le point de remporter la somme colossale de 20 millions de roupies lors de la version indienne de l'émission ",120,"Comédie,Comédie dramatique,Romance","Anglais, Hindi"," U.S.A., Grande-Bretagne",,Loveleen Tandan,"3,5","4,3",Slumdog Millionaire,
"Chutimon Chuengcharoensukying,Kenneth Won,Nopachai Chaiyanam",8 avril 2023,Une jeune femme à la tête d'un restaurant de cuisine de rue repousse ses limites après avoir accepté d'être formée par un grand chef aussi talentueux qu'implacable.,146,"Drame,Thriller",-, Thaïlande,,Sitisiri Mongkolsiri,"3,5",,Hunger,
"Ashley Leggat,Laura Afelskie,Laura Provenzano",3 juin 2024,"Le jour où Kasey apprend que sa mère, Kelly, n'est pas sa mère biologique et qu'elle a une demi-sœur, Fran, elle fait éclater la vérité au grand jour. La famille de Kelly craint alors que Troy la quitte pour retourner avec Diana, la mère de Fran, et fait tout pour empêcher cette situation.",90,Thriller,-, U.S.A.,,Roxanne Boisvert,,,"Double vie, demi-soeur",Our Mother's Secret Affair
"Noémie Merlant,Adèle Haenel,Luàna Bajrami",18 septembre 2019,"1770. Marianne est peintre et doit réaliser le portrait de mariage d’Héloïse, une jeune femme qui vient de quitter le couvent. Héloïse résiste à son destin d’épouse en refusant de poser. Marianne va devoir la peindre en secret. Introduite auprès d’elle en tant que dame de compagnie, elle la regarde.",122,"Drame,Historique",-, France,,Céline Sciamma,"4,0","4,0",Portrait de la jeune fille en feu,
"Katharine Isabelle,Antonio Cupo,Tristan Risk",3 mars 2015,"Cherchant à se faire un peu d’argent pour payer ses études de médecine, la jeune Mary est engagée dans une boîte de massage, mais ce sont plutôt ses talents de chirurgienne qui attirent l’attention de son employeur. Elle accepte d’abord de soigner un homme torturé par les gros bras du salon, avant d’opérer quelques freaks habitués qui cherchent les sensations extrêmes en modifiant leurs corps. Un pacte de sang qui va l’entrainer dans une spirale de violence de plus en plus extrême et insupportable.",81,"Epouvante-horreur,Thriller",-," U.S.A., Canada",,Jen Soska,"3,3",,American Mary,
"Deborah Révy,Hélène Zimmer,Gowan Didi",14 septembre 2011,"A la mort de son père, Cécile 20 ans, quelque peu désemparée, cherche un réconfort auprès de ses amies. Ses amours, au hasard de rencontres, ont parfois un goût amer. ",107,"Comédie dramatique,Erotique",-, France,Interdit - 16 ans,Laurent Bouhnik,"1,6","1,7",Q,
"Tahar Rahim,Léa Seydoux,Olivier Gourmet",28 août 2013,"De petits boulots en petits boulots, Gary est embauché dans une centrale nucléaire. Là, au plus près des réacteurs, où les doses radioactives sont les plus fortes, il tombe amoureux de Karole, la femme de Toni. L’amour interdit et les radiations contaminent lentement Gary. Chaque jour devient une menace.",94,"Drame,Romance",-, France,,Rebecca Zlotowski,"3,9","2,9",Grand Central,
